time;title;link;summary
19:40;"Віддати РФ захоплені території, а Україну не брати до НАТО: WSJ дізнався деталі ""мирного плану"" Трампа";https://kontrakty.ua/article/252057;Немає опису
19:38;Британія заявила про підтримку України;https://v-variant.com.ua/brytaniia-zaiavyla-pro-pidtrymku-ukrainy/;Немає опису
19:34;Білий дім: Байден переконуватиме Конгрес і Трампа в подальшій підтримці України;https://www.eurointegration.com.ua/news/2024/11/10/7198101/;Немає опису
19:31;Трамп не погодиться на територіальну анексію та «мир за спинами українців» - Барро;https://www.ukrinform.ua/rubric-polytics/3925618-tramp-ne-pogoditsa-na-teritorialnu-aneksiu-ta-mir-za-spinami-ukrainciv-barro.html;Немає опису
19:30;США надають Україні понад 500 ракет - ЗМІ;https://toneto.net/news/kultura/ssha-nadayut-ukra--n---ponad-500-raket---zm--;Немає опису
19:30;Зеленський заявив, чому Росія насправді почала війну;https://kontrakty.ua/article/252055;Немає опису
19:28;У ЦПД прокоментували «мирні сценарії» Трампа;https://real-vin.com/u-cpd-prokomentuvali-mirni-scenarii-trampa;Немає опису
19:27;Глава МЗС Франції розраховує на мудрість Трампа щодо України;https://gordonua.com/ukr/news/politics/hlava-mzs-frantsiji-rozrakhovuje-na-mudrist-trampa-shchodo-ukrajini-1724134.html;Немає опису
19:16;Роберт Фіцо закликав знизити допомогу Україні, вбачаючи у цьому шлях до миру;https://zn.ua/ukr/war/robert-fitso-zaklikav-zniziti-dopomohu-ukrajini-vbachajuchi-u-tsomu-shljakh-do-miru.html;Немає опису
19:11;Франція надішле Україні близько 10 далекобійних ракет SCALP;https://newssky.com.ua/francziya-nadishle-ukrayini-blyzko-10-dalekobijnyh-raket-scalp/;Немає опису
19:11;"Кремль бачить ""позитивні сигнали"" від Трампа щодо війни в Україні: деталі";https://tsn.ua/ato/kreml-bachit-pozitivni-signali-vid-trampa-schodo-viyni-v-ukrayini-detali-2698227.html;Немає опису
19:09;Сили Європи атрофувалися: Столтенберг висловився про мир для України і прихід Трампа;https://newsyou.info/2024/11/sili-yevropi-atrofuvalisya-stoltenberg-vislovivsya-pro-mir-dlya-ukra%d1%97ni-i-prixid-trampa;Немає опису
19:07;Британія відкинула можливість територіальних поступок Росії: важлива заява щодо війни в Україні;https://www.ukr.net/cluster/politics/Britanija_vidkinula_mozhlivist_teritorialnih_postupok_Rosiji_vazhliva_zajava_wodo_vijni_v_Ukrajini-63367716.html;Немає опису
19:00;Наступного року завдяки Трампу у Європі може настати мир, - Сіярто;https://www.unian.ua/politics/vibori-v-ssha-siyarto-zayaviv-pro-povernennya-miru-u-yevropi-zavdyaki-trampu-12815586.html;Немає опису
18:35;"Перемога Трампа: у Кремлі вже побачили ""позитивні сигнали"" та заговорили про угоду";https://world.comments.ua/ua/news/russia/peremoga-trampa-u-kremli-vzhe-pobachili-pozitivni-signali-ta-zagovorili-pro-ugodu-748176.html?utm_source=ukrnet&utm_medium=ukrnet2;Немає опису
18:32;У Франції розраховують на «мудрість Трампа» щодо України;https://real-vin.com/u-francii-rozrahovujut-na-mudrist-trampa-shhodo-ukraini;Немає опису
18:29;Децентралізацію потрібно продовжувати, але без «політичних ігор» — заступник голови ОП;https://nv.ua/ukr/ukraine/politics/decentralizaciyu-treba-prodovzhuvati-ale-bez-politichnih-igor-novini-ukrajini-50465307.html;Немає опису
18:25;Чого Трамп не повинен допустити щодо України: адмірал із НАТО зробив важливу заяву;https://uapress.kyiv.ua/za-kordonom/chogo-tramp-ne-povinen-dopustiti-shhodo-ukrayini-admiral-iz-nato-zrobiv-vazhlivu-zayavu/;Немає опису
18:13;У Франції заявили про надання Україні ракет SCALP і пообіцяли підтримку з боку Трампа;https://one.ua/16489-u-franciyi-zayavili-pro-nadannya-ukrayini-raket-scalp-i-poobicyali-pidtrimku-z-boku-trampa;Немає опису
18:04;Франція відправить Україні нову партію ракет SCALP та Mistral;https://pravdatutnews.com/emergency/2024/11/10/50458-franciya-vidpravyt-ukrayini-novu-partiyu-raket-scalp-ta-mistral;Немає опису
